O*NET-SOC Code,Title,A: Arm-Hand Steadiness,A: Auditory Attention,A: Category Flexibility,A: Control Precision,A: Deductive Reasoning,A: Depth Perception,A: Dynamic Flexibility,A: Dynamic Strength,A: Explosive Strength,A: Extent Flexibility,A: Far Vision,A: Finger Dexterity,A: Flexibility of Closure,A: Fluency of Ideas,A: Glare Sensitivity,A: Gross Body Coordination,A: Gross Body Equilibrium,A: Hearing Sensitivity,A: Inductive Reasoning,A: Information Ordering,A: Manual Dexterity,A: Mathematical Reasoning,A: Memorization,A: Multilimb Coordination,A: Near Vision,A: Night Vision,A: Number Facility,A: Oral Comprehension,A: Oral Expression,A: Originality,A: Perceptual Speed,A: Peripheral Vision,A: Problem Sensitivity,A: Rate Control,A: Reaction Time,A: Response Orientation,A: Selective Attention,A: Sound Localization,A: Spatial Orientation,A: Speech Clarity,A: Speech Recognition,A: Speed of Closure,A: Speed of Limb Movement,A: Stamina,A: Static Strength,A: Time Sharing,A: Trunk Strength,A: Visual Color Discrimination,A: Visualization,A: Wrist-Finger Speed,A: Written Comprehension,A: Written Expression,S: Active Learning,S: Active Listening,S: Complex Problem Solving,S: Coordination,S: Critical Thinking,S: Equipment Maintenance,S: Equipment Selection,S: Installation,S: Instructing,S: Judgment and Decision Making,S: Learning Strategies,S: Management of Financial Resources,S: Management of Material Resources,S: Management of Personnel Resources,S: Mathematics,S: Monitoring,S: Negotiation,S: Operation and Control,S: Operations Analysis,S: Operations Monitoring,S: Persuasion,S: Programming,S: Quality Control Analysis,S: Reading Comprehension,S: Repairing,S: Science,S: Service Orientation,S: Social Perceptiveness,S: Speaking,S: Systems Analysis,S: Systems Evaluation,S: Technology Design,S: Time Management,S: Troubleshooting,S: Writing,Final_Cluster,Avg_Cluster_Labels,Ward_Cluster_Labels,Ward_Cluster
11-1011.00,Chief Executives,0.5,2.0,4.0,0.75,4.75,1.38,0.0,0.25,0.0,0.0,3.25,1.0,3.62,4.62,0.25,0.0,0.0,2.0,4.88,4.12,0.0,3.75,3.12,0.75,4.5,0.25,3.75,4.88,4.88,4.25,3.0,0.25,4.88,0.38,0.38,0.38,3.12,0.38,0.5,4.75,4.5,3.12,0.0,0.0,0.0,2.88,0.62,2.0,3.38,0.5,4.88,4.75,4.125,4.375,4.63,4.565,4.565,0.5,0.685,0.5,3.63,5.065,3.435,4.75,4.375,4.75,3.375,4.625,4.4350000000000005,1.63,3.5,1.75,4.375,1.375,1.5,4.37,0.5,1.185,3.25,4.1850000000000005,4.5,4.62,4.625,1.315,4.375,1.0,4.25,0,0,11,11
11-1011.03,Chief Sustainability Officers,0.0,1.75,3.5,0.5,4.75,1.75,0.0,0.0,0.0,0.0,2.75,1.38,3.0,4.12,0.0,0.0,0.0,1.75,4.12,3.75,0.0,3.0,2.75,0.5,3.62,0.0,3.0,4.62,4.75,4.0,2.12,0.0,4.12,0.0,0.0,0.0,3.0,0.0,0.0,3.75,3.88,2.62,0.0,0.0,0.0,2.38,0.5,2.0,2.88,0.12,4.25,4.38,3.815,4.0,4.0600000000000005,3.815,4.12,0.5,0.685,0.5,3.315,3.94,3.565,3.0,2.435,3.56,3.0,3.875,3.185,1.5,3.0,1.94,3.94,1.5,1.69,4.125,0.5,2.0,3.25,3.88,4.0600000000000005,3.94,3.94,1.5,3.63,0.5,4.1850000000000005,0,0,11,11
11-1021.00,General and Operations Managers,0.88,2.0,3.25,0.12,4.12,1.62,0.0,0.12,0.38,0.25,2.75,0.5,2.5,3.38,0.0,0.62,0.38,1.5,3.5,3.62,0.5,3.12,2.25,0.5,3.38,0.12,3.0,4.12,4.12,3.5,2.25,0.25,4.12,0.0,0.62,0.0,2.88,0.25,0.62,3.62,3.5,2.25,0.0,0.88,0.88,2.88,1.88,1.75,2.75,0.88,4.0,4.0,3.685,4.0600000000000005,3.75,3.94,3.88,0.5,0.5,0.5,3.125,3.75,3.06,3.19,3.185,3.875,2.685,4.0600000000000005,3.56,1.815,2.44,2.185,3.685,1.06,2.25,4.0,0.5,1.06,3.185,3.875,4.0600000000000005,3.12,3.185,1.06,3.75,1.375,3.69,0,0,11,11
11-2011.00,Advertising and Promotions Managers,0.5,1.25,3.88,0.12,4.5,1.0,0.0,0.0,0.0,0.0,3.12,1.12,3.12,4.12,0.0,0.0,0.0,1.25,3.88,3.75,0.38,3.12,2.38,0.0,4.12,0.0,3.12,4.38,4.75,3.88,2.75,0.0,4.0,0.0,0.0,0.0,2.75,0.0,0.0,3.88,4.0,2.75,0.0,0.0,0.0,2.12,0.88,2.75,3.12,0.75,4.0,4.0,3.685,4.12,3.69,3.81,4.0600000000000005,0.5,0.6200000000000001,0.5,2.94,3.875,3.125,3.185,2.62,3.5,3.125,3.75,3.435,0.5,2.935,1.12,3.63,1.25,1.31,3.875,0.5,1.12,3.185,4.0,4.0600000000000005,3.12,3.435,1.25,3.69,0.5,3.815,0,0,11,11
11-2021.00,Marketing Managers,0.12,1.62,3.62,0.0,4.38,0.75,0.0,0.25,0.0,0.0,3.25,1.25,3.0,4.25,0.0,0.0,0.0,1.5,3.88,3.5,0.0,3.62,3.0,0.0,3.75,0.0,3.5,4.38,4.12,4.0,2.88,0.0,3.88,0.0,0.0,0.0,2.88,0.0,0.0,3.88,3.88,3.0,0.0,0.0,0.0,2.62,0.88,2.88,3.0,0.75,4.12,4.12,4.0,4.0,3.75,3.625,4.065,0.5,0.5,0.5,3.25,3.875,3.31,3.315,2.685,3.63,2.935,4.0,3.75,0.5,3.5,1.5,4.065,1.565,1.63,4.065,0.5,1.625,3.185,3.94,4.0,3.5,3.625,1.315,3.625,0.5,3.565,0,0,11,11
11-2022.00,Sales Managers,0.12,1.62,3.62,0.38,4.0,0.5,0.0,0.0,0.0,0.0,2.75,0.5,2.88,3.88,0.0,0.0,0.0,1.0,4.0,3.0,0.38,3.75,3.0,0.25,3.38,0.0,3.62,4.38,4.0,3.88,2.25,0.0,3.88,0.0,0.0,0.0,2.75,0.0,0.62,4.0,4.12,3.0,0.0,0.0,0.0,2.12,1.25,1.62,2.5,0.62,4.0,4.0,3.815,4.0,3.815,3.875,3.94,0.5,0.5,0.5,3.815,3.94,3.37,3.31,2.935,3.94,3.06,4.25,4.0,1.25,2.62,1.625,3.94,1.185,1.375,3.94,0.5,1.12,3.75,3.94,4.0,3.75,3.75,1.0,3.875,0.5,3.81,0,0,11,11
11-2033.00,Fundraising Managers,0.0,2.0,3.12,0.12,4.12,0.0,0.0,0.75,0.0,0.0,3.0,0.12,2.25,4.0,0.0,0.0,0.0,1.38,3.25,3.25,0.12,3.25,2.62,0.0,3.88,0.0,3.12,4.12,4.25,3.88,2.12,0.0,3.62,0.0,0.0,0.0,2.38,0.38,0.25,3.88,3.75,2.25,0.0,0.0,0.0,2.38,1.62,2.0,2.0,1.25,4.12,4.38,3.5,4.0,3.685,3.75,4.0,0.5,0.5,0.5,2.5,3.815,2.685,3.435,2.5,3.06,2.875,3.5,3.5,0.685,1.94,1.375,3.75,1.44,0.815,3.88,0.5,0.75,3.44,4.0600000000000005,4.0,2.935,3.125,1.315,3.44,0.5,3.94,0,0,2,2
11-3012.00,Administrative Services Managers,2.0,2.25,3.12,1.75,3.88,1.62,0.0,0.75,0.75,0.75,2.75,2.12,2.38,3.12,0.62,0.62,0.62,2.12,3.38,3.12,1.62,2.5,2.62,1.0,3.62,0.62,2.75,4.0,4.0,3.12,2.38,0.62,3.75,0.88,0.88,0.62,3.0,0.75,0.5,3.5,3.62,2.62,0.0,0.5,1.0,2.88,1.25,2.0,2.75,0.38,4.0,4.0,3.25,4.0,3.185,3.685,3.815,0.5,0.685,0.5,3.125,3.185,3.125,2.88,2.88,3.565,2.185,3.5,3.435,1.31,2.625,2.25,3.06,1.0,2.185,4.0,0.5,0.5,3.25,3.5,3.88,3.12,2.935,1.125,4.0,1.565,3.75,0,0,1,1
11-3013.00,Facilities Managers,2.5,2.5,3.25,2.5,3.88,2.12,0.25,1.5,1.25,2.25,3.0,2.38,3.25,3.12,1.25,1.5,1.38,2.0,3.75,3.62,2.38,2.62,2.75,2.0,3.5,1.25,2.62,3.88,3.88,3.0,2.75,1.88,3.75,1.5,2.12,2.25,2.75,1.12,2.5,3.62,3.62,2.5,0.25,1.88,1.75,2.75,2.5,2.38,2.75,2.12,4.0,3.88,3.12,3.75,3.38,3.685,3.75,2.315,2.065,0.6200000000000001,3.25,3.44,3.125,2.875,2.875,3.56,2.75,3.815,3.25,2.25,1.63,2.69,3.25,1.37,2.88,3.815,2.065,1.125,2.94,3.62,3.815,3.06,3.125,1.25,3.565,2.435,3.5,2,2,1,1
11-3013.01,Security Managers,2.25,2.88,3.5,1.75,4.0,2.0,0.0,1.75,1.62,2.12,3.62,1.88,3.62,4.0,1.62,1.62,1.38,2.5,3.88,3.75,1.75,2.88,2.88,1.75,3.62,2.0,2.75,4.0,4.12,3.62,2.88,1.62,4.75,0.88,1.88,2.12,3.5,1.88,1.62,3.62,4.0,3.5,1.25,1.5,1.88,3.25,2.38,2.62,3.0,1.38,4.12,4.12,3.62,4.0600000000000005,4.0,4.0,4.1850000000000005,1.315,1.75,0.5,3.25,3.935,3.44,3.62,3.185,3.75,2.44,4.3100000000000005,3.25,2.06,2.125,2.0,3.44,1.25,2.44,4.0600000000000005,1.375,0.8799999999999999,3.315,3.875,4.0,3.185,3.315,1.185,3.625,1.75,3.815,2,2,1,1
